BatchID,MonthSubmitted,DateSubmitted,Day_of_week,PhotosInBatch
130674742,January-2017,01/13/2017,Fraiday,33
130508497,January-2017,01/12/2017,Thursday,9
130503865,January-2017,01/12/2017,Thursday,7
130338229,January-2017,01/11/2017,Wednesday,24
130148125,January-2017,01/10/2017,Tuesday,23
129944446,January-2017,01/09/2017,Monday,8
129944239,January-2017,01/09/2017,Monday,20
129790726,January-2017,01/08/2017,Sunday,1
129786544,January-2017,01/08/2017,Sunday,19
129454519,January-2017,01/06/2017,Fraiday,5
129272368,January-2017,01/05/2017,Thursday,11
127883677,December-2016,12/26/2016,Monday,22
127883590,December-2016,12/26/2016,Monday,40
127880290,December-2016,12/26/2016,Monday,28
127624084,December-2016,12/23/2016,Fraiday,10
127290991,December-2016,12/21/2016,Wednesday,30
127019941,December-2016,12/19/2016,Monday,20
127019740,December-2016,12/19/2016,Monday,40
127019446,December-2016,12/19/2016,Monday,40
127010122,December-2016,12/19/2016,Monday,6
127010062,December-2016,12/19/2016,Monday,40
126771733,December-2016,12/17/2016,Saturday,5
126472861,December-2016,12/15/2016,Thursday,8
126327829,December-2016,12/14/2016,Wednesday,27
126156094,December-2016,12/13/2016,Tuesday,33
126033193,December-2016,12/12/2016,Monday,5
125978371,December-2016,12/12/2016,Monday,10
125944798,December-2016,12/12/2016,Monday,34
125825263,December-2016,12/11/2016,Sunday,9
125823835,December-2016,12/11/2016,Sunday,40
125562955,December-2016,12/09/2016,Fraiday,10
125427445,December-2016,12/08/2016,Thursday,10
125232286,December-2016,12/07/2016,Wednesday,20
125073481,December-2016,12/06/2016,Tuesday,21
125073304,December-2016,12/06/2016,Tuesday,40
124961434,December-2016,12/05/2016,Monday,19
124954018,December-2016,12/05/2016,Monday,1
124901554,December-2016,12/05/2016,Monday,27
124901353,December-2016,12/05/2016,Monday,40
124498558,December-2016,12/02/2016,Fraiday,10
124346554,December-2016,12/01/2016,Thursday,10
124341076,December-2016,12/01/2016,Thursday,1
124187779,November-2016,11/30/2016,Wednesday,9
124182664,November-2016,11/30/2016,Wednesday,17
123999493,November-2016,11/29/2016,Tuesday,20
123971866,November-2016,11/29/2016,Tuesday,29
123792955,November-2016,11/28/2016,Monday,29
123792427,November-2016,11/28/2016,Monday,40
123601291,November-2016,11/27/2016,Sunday,1
123601207,November-2016,11/27/2016,Sunday,40
123024487,November-2016,11/23/2016,Wednesday,34
122827489,November-2016,11/22/2016,Tuesday,8
122827348,November-2016,11/22/2016,Tuesday,35
122649994,November-2016,11/21/2016,Monday,3
122649871,November-2016,11/21/2016,Monday,39
122567821,November-2016,11/20/2016,Sunday,19
122171194,November-2016,11/17/2016,Thursday,5
121883464,November-2016,11/15/2016,Tuesday,29
121618459,November-2016,11/13/2016,Sunday,13
121581826,November-2016,11/13/2016,Sunday,18
121312819,November-2016,11/10/2016,Thursday,15
121225627,November-2016,11/10/2016,Thursday,33
121105546,November-2016,11/09/2016,Wednesday,7
121064146,November-2016,11/09/2016,Wednesday,9
121059025,November-2016,11/09/2016,Wednesday,1
120932206,November-2016,11/08/2016,Tuesday,33
120787498,November-2016,11/07/2016,Monday,30
120668242,November-2016,11/06/2016,Sunday,15
120468331,November-2016,11/04/2016,Fraiday,27
120306517,November-2016,11/03/2016,Thursday,37
120191905,November-2016,11/02/2016,Wednesday,40
120040672,November-2016,11/01/2016,Tuesday,8
120040558,November-2016,11/01/2016,Tuesday,40
119894938,October-2016,10/31/2016,Monday,2
119894833,October-2016,10/31/2016,Monday,40
119492818,October-2016,10/28/2016,Fraiday,22
119372560,October-2016,10/27/2016,Thursday,22
119281099,October-2016,10/26/2016,Wednesday,13
119214181,October-2016,10/26/2016,Wednesday,15
119055742,October-2016,10/25/2016,Tuesday,1
119055706,October-2016,10/25/2016,Tuesday,28
118942906,October-2016,10/24/2016,Monday,1
118938586,October-2016,10/24/2016,Monday,14
118938553,October-2016,10/24/2016,Monday,13
118586875,October-2016,10/21/2016,Fraiday,30
118466152,October-2016,10/20/2016,Thursday,13
118465921,October-2016,10/20/2016,Thursday,40
118176889,October-2016,10/18/2016,Tuesday,4
118176859,October-2016,10/18/2016,Tuesday,21
118055839,October-2016,10/17/2016,Monday,2
118055806,October-2016,10/17/2016,Monday,23
117764149,October-2016,10/14/2016,Fraiday,4
117764101,October-2016,10/14/2016,Fraiday,39
117637843,October-2016,10/13/2016,Thursday,19
117629239,October-2016,10/13/2016,Thursday,6
117495529,October-2016,10/12/2016,Wednesday,11
117495490,October-2016,10/12/2016,Wednesday,26
117362932,October-2016,10/11/2016,Tuesday,1
117362857,October-2016,10/11/2016,Tuesday,12
117362794,October-2016,10/11/2016,Tuesday,26
117263530,October-2016,10/10/2016,Monday,1
117255982,October-2016,10/10/2016,Monday,1
117255757,October-2016,10/10/2016,Monday,1
117255733,October-2016,10/10/2016,Monday,1
117206725,October-2016,10/10/2016,Monday,40
116900971,October-2016,10/07/2016,Fraiday,2
116887543,October-2016,10/07/2016,Fraiday,1
116887468,October-2016,10/07/2016,Fraiday,35
116790172,October-2016,10/06/2016,Thursday,9
116750977,October-2016,10/06/2016,Thursday,1
116521456,October-2016,10/04/2016,Tuesday,40
116454973,October-2016,10/04/2016,Tuesday,1
116367076,October-2016,10/03/2016,Monday,37
115917022,September-2016,09/29/2016,Thursday,12
115774771,September-2016,09/28/2016,Wednesday,15
115646581,September-2016,09/27/2016,Tuesday,2
115646458,September-2016,09/27/2016,Tuesday,40
115523890,September-2016,09/26/2016,Monday,1
115522885,September-2016,09/26/2016,Monday,40
115198906,September-2016,09/23/2016,Fraiday,3
115198798,September-2016,09/23/2016,Fraiday,36
115064209,September-2016,09/22/2016,Thursday,14
115060432,September-2016,09/22/2016,Thursday,11
114942391,September-2016,09/21/2016,Wednesday,21
114810409,September-2016,09/20/2016,Tuesday,1
114800890,September-2016,09/20/2016,Tuesday,22
114673231,September-2016,09/19/2016,Monday,31
114623836,September-2016,09/19/2016,Monday,1
114619903,September-2016,09/19/2016,Monday,1
114221395,September-2016,09/15/2016,Thursday,14
114193777,September-2016,09/15/2016,Thursday,3
114193768,September-2016,09/15/2016,Thursday,2
114094378,September-2016,09/14/2016,Wednesday,4
114094312,September-2016,09/14/2016,Wednesday,22
114067327,September-2016,09/14/2016,Wednesday,1
113981497,September-2016,09/13/2016,Tuesday,3
113845756,September-2016,09/12/2016,Monday,24
113434612,September-2016,09/08/2016,Thursday,28
113303566,September-2016,09/07/2016,Wednesday,15
113163481,September-2016,09/06/2016,Tuesday,3
113163439,September-2016,09/06/2016,Tuesday,12
113151991,September-2016,09/06/2016,Tuesday,2
113022274,September-2016,09/05/2016,Monday,2
113018674,September-2016,09/05/2016,Monday,8
111741004,August-2016,08/24/2016,Wednesday,7
111512698,August-2016,08/22/2016,Monday,3
110054069,August-2016,08/09/2016,Tuesday,10
109949849,August-2016,08/08/2016,Monday,4
109940750,August-2016,08/08/2016,Monday,1
109940297,August-2016,08/08/2016,Monday,2
109911473,August-2016,08/08/2016,Monday,7
