"August","02/08/2017","Wednesday","678369385","0.36","1","Subscription"
"August","02/08/2017","Wednesday","682748815","0.36","1","Subscription"
"August","02/08/2017","Wednesday","683705266","0.36","1","Subscription"
"August","02/08/2017","Wednesday","579189895","0.36","1","Subscription"
"August","02/08/2017","Wednesday","582888511","0.36","1","Subscription"
"August","02/08/2017","Wednesday","582888730","0.36","1","Subscription"
"August","02/08/2017","Wednesday","594829373","0.36","1","Subscription"
"August","02/08/2017","Wednesday","495922810","0.36","1","Subscription"
"August","02/08/2017","Wednesday","605371439","0.36","1","Subscription"
"August","02/08/2017","Wednesday","483647788","0.36","1","Subscription"
"August","02/08/2017","Wednesday","615976490","0.36","1","Subscription"
"August","02/08/2017","Wednesday","630297875","0.36","1","Subscription"
"August","02/08/2017","Wednesday","495923029","0.36","1","Subscription"
"August","02/08/2017","Wednesday","646947667","0.36","1","Subscription"
"August","02/08/2017","Wednesday","651960118","0.36","1","Subscription"
"August","02/08/2017","Wednesday","653382448","0.36","1","Subscription"
"August","02/08/2017","Wednesday","653608132","0.36","1","Subscription"
"August","02/08/2017","Wednesday","654157039","0.36","1","Subscription"
"August","02/08/2017","Wednesday","654157552","0.36","1","Subscription"
"August","02/08/2017","Wednesday","654157588","0.36","1","Subscription"
"August","02/08/2017","Wednesday","654157672","0.36","1","Subscription"
"August","02/08/2017","Wednesday","654355414","0.36","1","Subscription"
"August","02/08/2017","Wednesday","654518029","0.36","1","Subscription"
"August","02/08/2017","Wednesday","486107818","0.36","1","Subscription"
"August","02/08/2017","Wednesday","529734829","0.36","1","Subscription"
"August","02/08/2017","Wednesday","529765240","0.36","1","Subscription"
"August","02/08/2017","Wednesday","530957233","0.36","1","Subscription"
"August","02/08/2017","Wednesday","465268082","0.36","1","Subscription"
"August","02/08/2017","Wednesday","538990525","0.36","1","Subscription"
"August","02/08/2017","Wednesday","538990621","0.36","1","Subscription"
"August","02/08/2017","Wednesday","538992271","0.36","1","Subscription"
"August","02/08/2017","Wednesday","538992874","0.36","1","Subscription"
"August","02/08/2017","Wednesday","542901457","0.36","1","Subscription"
"August","02/08/2017","Wednesday","542901499","0.36","1","Subscription"
"August","02/08/2017","Wednesday","542901517","0.36","1","Subscription"
"August","02/08/2017","Wednesday","492514876","0.36","1","Subscription"
"August","02/08/2017","Wednesday","493134382","0.36","1","Subscription"
"August","02/08/2017","Wednesday","485515309","0.36","1","Subscription"
"August","02/08/2017","Wednesday","551877823","0.36","1","Subscription"
"August","02/08/2017","Wednesday","551878354","0.36","1","Subscription"
"August","02/08/2017","Wednesday","553607842","0.36","1","Subscription"
"August","02/08/2017","Wednesday","554343022","0.36","1","Subscription"
